"participant","session","assignmentId","projectId","date","practiceTrial.started","practiceTrial.stopped","tooLate.started","tooLate.stopped","blank.started","blank.stopped","trials_pract.thisRepN","trials_pract.thisTrialN","trials_pract.thisN","trials_pract.thisIndex","trials_pract.ran","delay_pract","amount_pract","responseMade","key","rt","trial.started","trial.stopped","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","trials.ran","delay","amount","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials_2.ran","block","trial","taskType"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,238.5593,238.5596,238.5596,238.9089,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6265,235.5653,238.5591,0,9,9,88,1,100,46,NA,NA,NA,NA,NA,1,10,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,241.9052,241.9054,241.9054,242.2557,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.1827,238.912,241.9052,0,10,10,20,1,14,28,NA,NA,NA,NA,NA,1,11,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,245.2525,245.2525,245.2525,245.602,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7562,242.2586,245.2523,0,11,11,104,1,200,35,NA,NA,NA,NA,NA,1,12,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,248.5999,248.6,248.6,248.9489,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0654,245.6037,248.5996,0,12,12,82,1,95,47,NA,NA,NA,NA,NA,1,13,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,251.9632,251.9633,251.9634,252.3116,NA,NA,NA,NA,NA,NA,NA,TRUE,2,2.2166,248.952,251.963,0,13,13,54,1,45,26,NA,NA,NA,NA,NA,1,14,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,255.31,255.3104,255.3104,255.6593,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.501,252.313,255.3096,0,14,14,77,1,90,54,NA,NA,NA,NA,NA,1,15,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,258.6564,258.6566,258.6566,259.0061,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5231,255.663,258.6561,0,15,15,36,1,28,26,NA,NA,NA,NA,NA,1,16,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,262.0031,262.0031,262.0032,262.3538,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.7259,259.0093,262.0029,0,16,16,78,1,95,31,NA,NA,NA,NA,NA,1,17,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,265.3502,265.3502,265.3503,265.6995,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.3339,262.3578,265.3498,0,17,17,84,1,100,26,NA,NA,NA,NA,NA,1,18,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,268.7126,268.7127,268.7127,269.0619,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4567,265.7037,268.7125,0,18,18,91,1,150,33,NA,NA,NA,NA,NA,1,19,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,272.0592,272.0594,272.0594,272.4097,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.5981,269.0633,272.0591,0,19,19,106,1,200,47,NA,NA,NA,NA,NA,1,20,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,275.4066,275.4067,275.4067,275.7563,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.2588,272.4129,275.4064,0,20,20,98,1,180,35,NA,NA,NA,NA,NA,1,21,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,278.7541,278.7541,278.7541,279.1023,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.9584,275.759,278.7538,0,21,21,47,1,30,38,NA,NA,NA,NA,NA,1,22,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,282.0999,282.1001,282.1001,282.4488,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.4936,279.104,282.0998,0,22,22,32,1,25,31,NA,NA,NA,NA,NA,1,23,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,285.447,285.4471,285.4471,285.7965,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6938,282.4503,285.4469,0,23,23,69,1,60,40,NA,NA,NA,NA,NA,1,24,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,288.8103,288.8106,288.8106,289.159,NA,NA,NA,NA,NA,NA,NA,TRUE,1,2.0993,285.7997,288.8101,0,24,24,61,1,50,30,NA,NA,NA,NA,NA,1,25,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,292.1572,292.1573,292.1573,292.5066,NA,NA,NA,NA,NA,NA,NA,TRUE,2,1.5567,289.1606,292.157,0,25,25,9,1,10,29,NA,NA,NA,NA,NA,1,26,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,295.5041,295.5042,295.5043,295.8529,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.4747,292.5098,295.5038,0,26,26,62,1,50,35,NA,NA,NA,NA,NA,1,27,"binary"
"B6473020623C47F4BB5E4977C8E2F543",1,"01990a99-46e5-7a59-ac4b-aa3a59610b9c","01990a83-7673-7c0c-a792-bbd8fbbaf673","2025-09-02_09h31.09.853",NA,NA,298.8508,298.8509,298.851,299.2002,NA,NA,NA,NA,NA,NA,NA,TRUE,1,1.6564,295.855,298.8505,0,27,27,67,1,60,33,NA,NA,NA,NA,NA,1,28,"binary"
